1.066252979599999939e+01 9.455447999999998956e+02 2.362919810296989720e+00 3.559043236071757210e-03
1.076974138639999978e+01 8.263735669718181498e+02 2.373310117212928727e+00 5.322621801303255989e-03
1.087695297680000017e+01 7.222220165450925151e+02 2.373428309317802132e+00 7.730942032896858176e-03
1.102436891360000004e+01 6.311971510582551446e+02 2.365297945073355557e+00 1.089846718059925279e-02
1.113158050400000043e+01 5.516445557973142968e+02 2.349748553961467756e+00 1.486651409508406817e-02
1.122539064559999922e+01 4.821183293216893730e+02 2.327139507797611806e+00 1.963659391143117786e-02
1.131920078719999978e+01 4.213548036053482519e+02 2.297647531768865381e+00 2.529857159872610922e-02
1.142641237760000017e+01 3.682495763458927627e+02 2.261387014030428855e+00 3.183427661453248902e-02
1.150682107040000091e+01 3.218374379942826522e+02 2.218474754215689071e+00 3.910672724704282455e-02
1.157382831440000004e+01 2.812748286706317344e+02 2.169070587287745155e+00 4.687614293743821992e-02
1.164083555839999917e+01 2.458245061132344063e+02 2.113405513623044296e+00 5.517665626654116862e-02
1.170784280239999831e+01 2.148421459944352137e+02 2.051800435012488322e+00 6.400060724647928245e-02
1.174804714879999956e+01 1.877646310585196829e+02 1.984668409705770298e+00 7.245379735791283859e-02
1.178825149519999904e+01 1.640998162318447271e+02 1.912521385634365911e+00 8.131931984517916379e-02
1.182845584160000030e+01 1.434175836818407959e+02 1.835967523466510487e+00 8.982230797699632119e-02
1.184185729040000012e+01 1.253420252468651768e+02 1.755711951260669368e+00 9.811858529221978431e-02
1.185525873919999995e+01 1.095446101493273829e+02 1.672545964668192608e+00 1.057268211382566964e-01
1.185525873919999995e+01 9.573821381243587325e+01 1.587301598942824299e+00 1.124701957345472791e-01
1.185525873919999995e+01 8.367189925183159005e+01 1.500776681401437163e+00 1.184720689145580125e-01
1.184185729040000012e+01 7.312635619173487100e+01 1.413931452257334298e+00 1.237975524687295326e-01
1.184185729040000012e+01 6.390991500964913286e+01 1.327638275391873401e+00 1.280460410992959042e-01
1.181505439280000047e+01 5.585506306141127197e+01 1.242547096215423252e+00 1.317164520191570765e-01
1.180165294399999887e+01 4.881540006935079390e+01 1.159690941809330411e+00 1.340580060718074007e-01
1.177485004640000099e+01 4.266297723647338813e+01 1.079374316113157928e+00 1.350670693872180195e-01
1.176144859760000116e+01 3.728597172396487736e+01 1.002550869117091903e+00 1.363656952295504987e-01
1.173464569999999974e+01 3.258665422467894501e+01 9.291925833948182500e-01 1.352235046417923081e-01
1.173464569999999974e+01 2.847961269241311300e+01 8.600720099049909972e-01 1.342947840473869558e-01
1.172124425119999991e+01 2.489019994251493983e+01 7.946526888996268134e-01 1.319914481478819956e-01
1.172124425119999991e+01 2.175317690831553463e+01 7.334692523398562702e-01 1.295837546027652221e-01
1.173464569999999974e+01 1.901152689401252971e+01 6.756672890507201545e-01 1.256885713818013672e-01
1.174804714879999956e+01 1.661541927255672135e+01 6.215540138516463253e-01 1.225542324722622978e-01
1.177485004640000099e+01 1.452130379332105647e+01 5.706085580838926585e-01 1.176539746966616395e-01
1.181505439280000047e+01 1.269111903821809584e+01 5.231401842593221829e-01 1.130493954959914255e-01
1.186866018799999978e+01 1.109160063962727349e+01 4.788233196538619341e-01 1.075242780813413929e-01
1.194906888080000051e+01 9.693676686705579471e+00 4.379266073599850650e-01 1.021782121898232448e-01
1.205628047119999913e+01 8.471939331340458068e+00 4.000249424852894142e-01 9.609487121396875775e-02
1.219029495920000095e+01 7.404182989963737249e+00 3.653023310838196536e-01 9.111763714797041502e-02
1.236451379360000047e+01 6.471000747852873047e+00 3.333422598117345981e-01 8.560065237226892332e-02
1.256553552559999964e+01 5.655431630400255649e+00 3.042634396855360968e-01 7.949060209422190160e-02
1.283356450159999973e+01 4.942652330359290858e+00 2.776799394505345409e-01 7.438534088789107435e-02
1.315519927280000090e+01 4.319707788082148170e+00 2.536267484404359784e-01 6.910958822604294782e-02
1.354384128799999942e+01 3.775275727933132597e+00 2.318055575488865150e-01 6.321490534252954818e-02
1.402629344480000029e+01 3.299460871229190406e+00 2.121429202936501168e-01 5.831344391386157622e-02
1.461595719199999976e+01 2.883615085442391646e+00 1.944751563617437007e-01 5.436805071291260505e-02
1.532623397840000123e+01 2.520180200801460657e+00 1.786127270229301289e-01 4.963525299595802215e-02
1.618392670160000080e+01 2.202550637418825730e+00 1.645122289925154691e-01 4.484145724697589930e-02
1.724264115680000131e+01 1.924953346134257393e+00 1.519208826922738287e-01 4.081056535126390689e-02
1.854258169039999871e+01 1.682342880950014274e+00 1.408542302305084981e-01 3.841203751493093427e-02
2.013735409759999939e+01 1.470309695955504425e+00 1.310610044468389634e-01 3.463231386283207452e-02
2.210736707120000233e+01 1.284999999999999920e+00 1.225676403760852795e-01 3.221436667879937904e-02
