
#  FSUGarnet                            
#      n(fm-3)          e/V(MeV/fm3)        P(MeV/fm3)            cs2
   0.168753520e+00    0.161145879e+03    0.338976577e+01    0.764047487e-01
   0.171207632e+00    0.163540837e+03    0.357584989e+01    0.790249263e-01
   0.173661744e+00    0.165937286e+03    0.376843517e+01    0.816767535e-01
   0.176115856e+00    0.168337278e+03    0.396761626e+01    0.843304872e-01
   0.178569968e+00    0.170739703e+03    0.417345058e+01    0.870192561e-01
   0.181024080e+00    0.173144441e+03    0.438600144e+01    0.897725306e-01
   0.183478192e+00    0.175552765e+03    0.460549799e+01    0.924973339e-01
   0.185932304e+00    0.177964331e+03    0.483192479e+01    0.953134175e-01
   0.188386416e+00    0.180378159e+03    0.506538899e+01    0.981000493e-01
   0.190840528e+00    0.182796055e+03    0.530596882e+01    0.100931028e+00
   0.193294640e+00    0.185216495e+03    0.555376030e+01    0.103799632e+00
   0.195748752e+00    0.187640515e+03    0.580884169e+01    0.106685957e+00
   0.198202864e+00    0.190066054e+03    0.607117555e+01    0.109609530e+00
   0.200656976e+00    0.192496432e+03    0.634108952e+01    0.112513838e+00
   0.203111088e+00    0.194930435e+03    0.661852008e+01    0.115455729e+00
   0.205565200e+00    0.197367702e+03    0.690357143e+01    0.118463204e+00
   0.208019312e+00    0.199807807e+03    0.719629666e+01    0.121456131e+00
   0.210473424e+00    0.202251902e+03    0.749680994e+01    0.124460792e+00
   0.212927536e+00    0.204698610e+03    0.780502586e+01    0.127482281e+00
   0.215381648e+00    0.207149706e+03    0.812121854e+01    0.130522562e+00
   0.217835760e+00    0.209604732e+03    0.844541413e+01    0.133587920e+00
   0.220289872e+00    0.212063426e+03    0.877764829e+01    0.136664471e+00
   0.222743984e+00    0.214525788e+03    0.911796498e+01    0.139752445e+00
   0.225198096e+00    0.216991961e+03    0.946645240e+01    0.142868427e+00
   0.227652208e+00    0.219461123e+03    0.982306253e+01    0.145962585e+00
   0.230106320e+00    0.221934537e+03    0.101878852e+02    0.149062802e+00
   0.232560432e+00    0.224412215e+03    0.105611701e+02    0.152232229e+00
   0.235014544e+00    0.226893745e+03    0.109427860e+02    0.155355179e+00
   0.237468656e+00    0.229379362e+03    0.113328713e+02    0.158481537e+00
   0.239922768e+00    0.231869686e+03    0.117313369e+02    0.161562089e+00
   0.242376880e+00    0.234363802e+03    0.121382794e+02    0.164750246e+00
   0.244830992e+00    0.236861569e+03    0.125536878e+02    0.167864827e+00
   0.247285104e+00    0.239363293e+03    0.129775718e+02    0.171031394e+00
   0.249739216e+00    0.241869630e+03    0.134102580e+02    0.174221311e+00
   0.252193328e+00    0.244379971e+03    0.138514584e+02    0.177260537e+00
   0.254647440e+00    0.246895527e+03    0.143012616e+02    0.180413939e+00
   0.257101552e+00    0.249415010e+03    0.147598371e+02    0.183537870e+00
   0.259555664e+00    0.251939278e+03    0.152269538e+02    0.186632446e+00
   0.262009776e+00    0.254466264e+03    0.157026452e+02    0.189795097e+00
   0.264463888e+00    0.256999089e+03    0.161871676e+02    0.192825983e+00
   0.266918000e+00    0.259536879e+03    0.166804103e+02    0.195864488e+00
   0.269372112e+00    0.262079368e+03    0.171822786e+02    0.198961598e+00
   0.271826224e+00    0.264625751e+03    0.176928879e+02    0.202038036e+00
   0.274280336e+00    0.267177302e+03    0.182122279e+02    0.205073908e+00
   0.276734448e+00    0.269733037e+03    0.187402679e+02    0.208098419e+00
   0.279188560e+00    0.272293068e+03    0.192767568e+02    0.211069574e+00
   0.281642672e+00    0.274858173e+03    0.198221301e+02    0.214122023e+00
   0.284096784e+00    0.277428105e+03    0.203760907e+02    0.216968261e+00
   0.286550896e+00    0.280004079e+03    0.209387462e+02    0.219922559e+00
   0.289005008e+00    0.282583861e+03    0.215100280e+02    0.222942420e+00
   0.291459120e+00    0.285168705e+03    0.220899945e+02    0.225777581e+00
   0.293913232e+00    0.287757940e+03    0.226782891e+02    0.228666447e+00
   0.296367344e+00    0.290351756e+03    0.232751762e+02    0.231550376e+00
   0.298821456e+00    0.292951265e+03    0.238807317e+02    0.234321146e+00
   0.301275568e+00    0.295556477e+03    0.244947394e+02    0.237084583e+00
   0.303729680e+00    0.298166182e+03    0.251172513e+02    0.239977626e+00
   0.306183792e+00    0.300780319e+03    0.257481411e+02    0.242652291e+00
   0.308637904e+00    0.303400567e+03    0.263873960e+02    0.245315071e+00
   0.311092016e+00    0.306024644e+03    0.270347355e+02    0.248058645e+00
   0.313546128e+00    0.308654883e+03    0.276907208e+02    0.250736866e+00
   0.316000240e+00    0.311289823e+03    0.283549044e+02    0.253389650e+00
   0.318454352e+00    0.313930228e+03    0.290273499e+02    0.255941708e+00
   0.320908464e+00    0.316576323e+03    0.297079752e+02    0.258513273e+00
