
#  FSUGarnet                            
#      n(fm-3)          e/V(MeV/fm3)        P(MeV/fm3)            cs2
   0.868175440e+00    0.104030277e+04    0.300581148e+03    0.399957354e+00
   0.870629552e+00    0.104409556e+04    0.302100042e+03    0.401111834e+00
   0.873083664e+00    0.104788848e+04    0.303621526e+03    0.400666648e+00
   0.875537776e+00    0.105169220e+04    0.305144213e+03    0.400372660e+00
   0.877991888e+00    0.105549881e+04    0.306668376e+03    0.400287340e+00
   0.880446000e+00    0.105930953e+04    0.308194848e+03    0.400916309e+00
   0.882900112e+00    0.106312187e+04    0.309721883e+03    0.400062225e+00
   0.885354224e+00    0.106694177e+04    0.311250881e+03    0.400683043e+00
   0.887808336e+00    0.107076333e+04    0.312782135e+03    0.400644811e+00
   0.890262448e+00    0.107458878e+04    0.314314341e+03    0.400030076e+00
   0.892716560e+00    0.107842517e+04    0.315848872e+03    0.400938776e+00
   0.895170672e+00    0.108225180e+04    0.317384760e+03    0.400358058e+00
   0.897624784e+00    0.108609945e+04    0.318921994e+03    0.400212054e+00
   0.900078896e+00    0.108993695e+04    0.320461376e+03    0.400914796e+00
   0.902533008e+00    0.109378433e+04    0.322001405e+03    0.400259546e+00
   0.904987120e+00    0.109763679e+04    0.323543860e+03    0.400198749e+00
   0.907441232e+00    0.110149694e+04    0.325088213e+03    0.400174792e+00
   0.909895344e+00    0.110535605e+04    0.326633580e+03    0.400775872e+00
   0.912349456e+00    0.110921463e+04    0.328181118e+03    0.401144393e+00
   0.914803568e+00    0.111308281e+04    0.329730269e+03    0.399495694e+00
   0.917257680e+00    0.111696211e+04    0.331279875e+03    0.400428339e+00
   0.919711792e+00    0.112083299e+04    0.332832402e+03    0.400623364e+00
   0.922165904e+00    0.112471477e+04    0.334385466e+03    0.400397207e+00
   0.924620016e+00    0.112859877e+04    0.335941485e+03    0.400150580e+00
   0.927074128e+00    0.113249254e+04    0.337498177e+03    0.400038733e+00
   0.929528240e+00    0.113638386e+04    0.339056242e+03    0.400387554e+00
   0.931982352e+00    0.114028201e+04    0.340615912e+03    0.399845648e+00
   0.934436464e+00    0.114418587e+04    0.342177137e+03    0.400315820e+00
   0.936890576e+00    0.114808872e+04    0.343740384e+03    0.400245103e+00
   0.939344688e+00    0.115200269e+04    0.345305077e+03    0.399711255e+00
   0.941798800e+00    0.115591729e+04    0.346870964e+03    0.400184176e+00
   0.944252912e+00    0.115983166e+04    0.348438247e+03    0.400767402e+00
   0.946707024e+00    0.116374830e+04    0.350007882e+03    0.400179267e+00
   0.949161136e+00    0.116767947e+04    0.351578159e+03    0.399314633e+00
   0.951615248e+00    0.117160941e+04    0.353150166e+03    0.400595586e+00
   0.954069360e+00    0.117554127e+04    0.354724771e+03    0.400105526e+00
   0.956523472e+00    0.117947797e+04    0.356299196e+03    0.399931139e+00
   0.958977584e+00    0.118342383e+04    0.357876729e+03    0.399551014e+00
   0.961431696e+00    0.118737197e+04    0.359454778e+03    0.400172098e+00
   0.963885808e+00    0.119132024e+04    0.361034978e+03    0.399656646e+00
   0.966339920e+00    0.119527808e+04    0.362614755e+03    0.399297524e+00
   0.968794032e+00    0.119923716e+04    0.364198043e+03    0.400321737e+00
   0.971248144e+00    0.120319524e+04    0.365782712e+03    0.400219718e+00
   0.973702256e+00    0.120715966e+04    0.367368334e+03    0.399882353e+00
   0.976156368e+00    0.121112951e+04    0.368955987e+03    0.399771823e+00
   0.978610480e+00    0.121510744e+04    0.370544821e+03    0.399227242e+00
   0.981064592e+00    0.121908746e+04    0.372134223e+03    0.399443132e+00
   0.983518704e+00    0.122306842e+04    0.373725352e+03    0.400140090e+00
   0.985972816e+00    0.122704994e+04    0.375318923e+03    0.399833525e+00
   0.988426928e+00    0.123104233e+04    0.376913721e+03    0.399549019e+00
   0.990881040e+00    0.123503670e+04    0.378509790e+03    0.399175827e+00
   0.993335152e+00    0.123904104e+04    0.380106937e+03    0.398991956e+00
   0.995789264e+00    0.124304449e+04    0.381706128e+03    0.399794197e+00
   0.998243376e+00    0.124704571e+04    0.383305881e+03    0.399626181e+00
   0.100069749e+01    0.125105621e+04    0.384907355e+03    0.399156990e+00
   0.100315160e+01    0.125507796e+04    0.386513388e+03    0.399636813e+00
   0.100560571e+01    0.125908050e+04    0.388113303e+03    0.399537401e+00
   0.100805982e+01    0.126311074e+04    0.389722114e+03    0.398997799e+00
   0.101051394e+01    0.126713894e+04    0.391330386e+03    0.399634542e+00
   0.101296805e+01    0.127115590e+04    0.392935549e+03    0.399158417e+00
   0.101542216e+01    0.127520277e+04    0.394549697e+03    0.399055484e+00
   0.101787627e+01    0.127923390e+04    0.396159797e+03    0.399415011e+00
   0.102033038e+01    0.128327169e+04    0.397770883e+03    0.398652003e+00
   0.102278450e+01    0.128732944e+04    0.399388718e+03    0.398981412e+00
   0.102523861e+01    0.129136669e+04    0.401000964e+03    0.399611580e+00
   0.102769272e+01    0.129541664e+04    0.402618909e+03    0.399127241e+00
   0.103014683e+01    0.129948074e+04    0.404240199e+03    0.399091367e+00
   0.103260094e+01    0.130354404e+04    0.405861942e+03    0.398717740e+00
   0.103505506e+01    0.130760350e+04    0.407478999e+03    0.398392786e+00
   0.103750917e+01    0.131168234e+04    0.409105367e+03    0.398971602e+00
   0.103996328e+01    0.131574753e+04    0.410727715e+03    0.399096316e+00
   0.104241739e+01    0.131981772e+04    0.412351308e+03    0.398698562e+00
   0.104487150e+01    0.132390926e+04    0.413982834e+03    0.398964649e+00
   0.104732562e+01    0.132797896e+04    0.415606586e+03    0.398740802e+00
   0.104977973e+01    0.133207149e+04    0.417237203e+03    0.398347792e+00
   0.105223384e+01    0.133616967e+04    0.418870825e+03    0.398950061e+00
   0.105468795e+01    0.134025031e+04    0.420498447e+03    0.398422141e+00
   0.105714206e+01    0.134436211e+04    0.422135270e+03    0.398189782e+00
   0.105959618e+01    0.134846304e+04    0.423769699e+03    0.398573363e+00
   0.106205029e+01    0.135256440e+04    0.425403401e+03    0.398415908e+00
   0.106450440e+01    0.135667883e+04    0.427044134e+03    0.398732991e+00
   0.106695851e+01    0.136080327e+04    0.428686354e+03    0.397934258e+00
   0.106941262e+01    0.136491153e+04    0.430322681e+03    0.398514700e+00
   0.107186674e+01    0.136903589e+04    0.431965239e+03    0.398063246e+00
   0.107432085e+01    0.137316787e+04    0.433611190e+03    0.398742188e+00
   0.107677496e+01    0.137728146e+04    0.435250864e+03    0.397992967e+00
   0.107922907e+01    0.138142624e+04    0.436898699e+03    0.397790460e+00
   0.108168318e+01    0.138556108e+04    0.438546075e+03    0.398574950e+00
   0.108413730e+01    0.138969436e+04    0.440191781e+03    0.398008199e+00
   0.108659141e+01    0.139384515e+04    0.441845141e+03    0.398367551e+00
   0.108904552e+01    0.139798725e+04    0.443492901e+03    0.397488569e+00
   0.109149963e+01    0.140213722e+04    0.445144213e+03    0.398301031e+00
   0.109395374e+01    0.140630126e+04    0.446801742e+03    0.397673788e+00
   0.109640786e+01    0.141044800e+04    0.448451405e+03    0.398314026e+00
   0.109886197e+01    0.141461237e+04    0.450110298e+03    0.397799572e+00
   0.110131608e+01    0.141878871e+04    0.451769746e+03    0.397523656e+00
   0.110377019e+01    0.142295823e+04    0.453429101e+03    0.398005859e+00
   0.110622430e+01    0.142712255e+04    0.455085046e+03    0.397425576e+00
   0.110867842e+01    0.143131429e+04    0.456751025e+03    0.397466215e+00
   0.111113253e+01    0.143548768e+04    0.458410241e+03    0.397864918e+00
   0.111358664e+01    0.143966553e+04    0.460073282e+03    0.397845959e+00
   0.111604075e+01    0.144386398e+04    0.461742137e+03    0.397547797e+00
   0.111849486e+01    0.144804341e+04    0.463403916e+03    0.397164940e+00
   0.112094898e+01    0.145225122e+04    0.465073895e+03    0.397312867e+00
   0.112340309e+01    0.145644627e+04    0.466743158e+03    0.397813072e+00
   0.112585720e+01    0.146064220e+04    0.468409201e+03    0.396627328e+00
   0.112831131e+01    0.146486209e+04    0.470084511e+03    0.397541874e+00
   0.113076542e+01    0.146906430e+04    0.471755477e+03    0.397471519e+00
   0.113321954e+01    0.147327328e+04    0.473427532e+03    0.396970024e+00
   0.113567365e+01    0.147750539e+04    0.475106629e+03    0.396968667e+00
   0.113812776e+01    0.148171078e+04    0.476778701e+03    0.397912156e+00
   0.114058187e+01    0.148593666e+04    0.478457639e+03    0.396442718e+00
   0.114303598e+01    0.149017850e+04    0.480138961e+03    0.397039634e+00
   0.114549010e+01    0.149440756e+04    0.481820602e+03    0.397432618e+00
   0.114794421e+01    0.149863590e+04    0.483497418e+03    0.396079279e+00
   0.115039832e+01    0.150288940e+04    0.485183848e+03    0.397075704e+00
   0.115285243e+01    0.150712462e+04    0.486865915e+03    0.396841677e+00
   0.115530654e+01    0.151136811e+04    0.488549553e+03    0.397094231e+00
   0.115776066e+01    0.151562389e+04    0.490240234e+03    0.396985349e+00
   0.116021477e+01    0.151986894e+04    0.491923442e+03    0.396289083e+00
   0.116266888e+01    0.152413016e+04    0.493613154e+03    0.396891016e+00
   0.116512299e+01    0.152839457e+04    0.495305565e+03    0.396465121e+00
   0.116757710e+01    0.153265167e+04    0.496991815e+03    0.396119891e+00
   0.117003122e+01    0.153692936e+04    0.498687549e+03    0.396629142e+00
   0.117248533e+01    0.154119699e+04    0.500380844e+03    0.396830835e+00
   0.117493944e+01    0.154546306e+04    0.502072238e+03    0.395976222e+00
   0.117739355e+01    0.154975242e+04    0.503770678e+03    0.396450411e+00
   0.117984766e+01    0.155403894e+04    0.505471191e+03    0.396310652e+00
   0.118230178e+01    0.155831893e+04    0.507165782e+03    0.396304032e+00
   0.118475589e+01    0.156260285e+04    0.508866403e+03    0.397015350e+00
